Datetime,sentiment_balance_total,sentiment_volume_consumed_total
2017-03-27 00:00:00+00:00,-0.75198203,-0.3796719
2017-03-28 00:00:00+00:00,0.0,-0.35618258
2017-03-29 00:00:00+00:00,0.0,-0.35618258
2017-03-30 00:00:00+00:00,-0.85607225,-0.34455526
2017-03-31 00:00:00+00:00,0.0,-0.33925003
2017-04-01 00:00:00+00:00,0.0,-0.33925003
2017-04-02 00:00:00+00:00,-0.080118716,-0.33721805
2017-04-03 00:00:00+00:00,0.032252252,-0.33347115
2017-04-04 00:00:00+00:00,0.87052846,-0.30356842
2017-04-05 00:00:00+00:00,0.0,-0.33662158
2017-04-06 00:00:00+00:00,0.76887006,-0.33662158
2017-04-07 00:00:00+00:00,0.0,-0.33662158
2017-04-08 00:00:00+00:00,0.0,-0.33596706
2017-04-09 00:00:00+00:00,0.0,-0.33597708
2017-04-10 00:00:00+00:00,-0.121058404,-0.3477746
2017-04-11 00:00:00+00:00,1.6307333,-0.25645575
2017-04-12 00:00:00+00:00,0.77018625,-0.23009151
2017-04-13 00:00:00+00:00,0.8173667,-0.28311646
2017-04-14 00:00:00+00:00,-1.687542,-0.43654206
2017-04-15 00:00:00+00:00,0.0,-0.33003387
2017-04-16 00:00:00+00:00,0.0,-0.32049516
2017-04-17 00:00:00+00:00,-0.03797561,-0.31565365
2017-04-18 00:00:00+00:00,-0.72419816,-0.39901346
2017-04-19 00:00:00+00:00,0.0,-0.30292517
2017-04-20 00:00:00+00:00,2.5513196,1.499176
2017-04-21 00:00:00+00:00,1.8760084,3.3720093
2017-04-22 00:00:00+00:00,4.0043488,5.7740993
2017-04-23 00:00:00+00:00,0.0,-0.32239497
2017-04-24 00:00:00+00:00,0.706046,-0.26805484
2017-04-25 00:00:00+00:00,0.11621016,-0.30163842
2017-04-26 00:00:00+00:00,-0.70348716,-0.37621617
2017-04-27 00:00:00+00:00,-0.10825759,-0.3127622
2017-04-28 00:00:00+00:00,2.5007987,-0.29101318
2017-04-29 00:00:00+00:00,-0.7070016,-0.3467746
2017-04-30 00:00:00+00:00,3.0613668,0.19520059
2017-05-01 00:00:00+00:00,0.7701348,-0.23590761
2017-05-02 00:00:00+00:00,0.78357285,-0.20500074
2017-05-03 00:00:00+00:00,0.8916178,-0.052835394
2017-05-04 00:00:00+00:00,0.73233354,-0.10108267
2017-05-05 00:00:00+00:00,0.0,-0.30619293
2017-05-06 00:00:00+00:00,0.0,-0.30619293
2017-05-07 00:00:00+00:00,1.680889,-0.2397557
2017-05-08 00:00:00+00:00,-0.7455564,-0.34703597
2017-05-09 00:00:00+00:00,1.5147779,0.00425215
2017-05-10 00:00:00+00:00,0.8321206,-0.17182055
2017-05-11 00:00:00+00:00,1.5516067,-0.120780975
2017-05-12 00:00:00+00:00,-0.11405522,-0.32012787
2017-05-13 00:00:00+00:00,0.65043896,-0.25723147
2017-05-14 00:00:00+00:00,2.2621946,0.05396658
2017-05-15 00:00:00+00:00,0.0,-0.31763414
2017-05-16 00:00:00+00:00,1.552177,-0.19258644
2017-05-17 00:00:00+00:00,0.0,-0.2930922
2017-05-18 00:00:00+00:00,0.0,-0.27831927
2017-05-19 00:00:00+00:00,0.77320886,-0.27831927
2017-05-20 00:00:00+00:00,1.46844,-0.11634222
2017-05-21 00:00:00+00:00,-0.93975323,-0.31728792
2017-05-22 00:00:00+00:00,0.0,-0.23304607
2017-05-23 00:00:00+00:00,-0.17644179,-0.24492514
2017-05-24 00:00:00+00:00,0.8515295,-0.15413229
2017-05-25 00:00:00+00:00,0.9023059,-0.1508935
2017-05-26 00:00:00+00:00,0.83409345,-0.12211324
2017-05-27 00:00:00+00:00,-0.30727667,-0.26138806
2017-05-28 00:00:00+00:00,1.5732863,-0.025750224
2017-05-29 00:00:00+00:00,0.80269057,-0.1666992
2017-05-30 00:00:00+00:00,0.84572303,-0.12683327
2017-05-31 00:00:00+00:00,-3.3508556,-0.68198746
2017-06-01 00:00:00+00:00,0.70485723,-0.17040795
2017-06-02 00:00:00+00:00,2.8911335,0.40213135
2017-06-03 00:00:00+00:00,1.5919665,-0.033416215
